Model,RMSE,MAE,R2,MAPE
Lasso Regression,121.66476558331635,81.38095680570058,0.8828863235222074,21.89674375572918
Ridge Regression,159.78290398349623,105.40974995502447,0.7980059451391874,29.893034137765838
Gradient Boosting,211.02826419959143,127.1548921904321,0.6476622142208567,28.222191519908762
Random Forest,277.0566648818752,163.56740400604684,0.39268337287951705,37.97874943187526
SVR,371.66600415435164,194.43466377031385,-0.09290809919670484,44.949047817223956
Linear Regression,1210.1963146452347,680.5800790623283,-10.587496593717397,182.76919961679906
